% YYYY MM DD, North, East Vert, sigmas, all in mm
2008 09 11 -35.59  -35.16  34.55  2.86  2.17  7.42
2008 09 12 -34.24  -35.34  33.58  1.69  1.47  6.69
2008 09 13 -34.09  -33.98  20.02  1.74  1.48  5.9
2008 09 14 -34.73  -34.27  27.24  1.68  1.45  6.58
2008 09 15 -35.12  -34.09  25.04  1.7  1.46  5.84
2008 09 16 -34.15  -34.59  26.28  1.69  1.43  6.64
2008 09 17 -33.03  -34.95  20.72  1.98  1.63  7.75
2008 09 18 -34.28  -33.82  20.01  1.83  1.53  6.44
2008 09 19 -33.82  -35.86  21.55  3.05  2.48  11.09
2008 09 20 -32.27  -34.56  17.49  1.71  1.43  5.49
2008 09 21 -32.95  -34.93  20.8  1.79  1.5  6.97
2008 09 22 -33.18  -34.43  25.52  1.69  1.43  5.91
2008 09 23 -32.9  -35.46  19.92  1.7  1.42  6.82
2008 09 24 -33.86  -34.98  33.26  1.68  1.42  6.75
2008 09 25 -32.72  -35.41  24.39  1.7  1.45  6.87
2008 09 26 -34.15  -34.96  25.07  1.77  1.5  6.96
2008 09 27 -33.65  -34.08  23.83  1.74  1.48  6.92
2008 09 28 -35.05  -33.49  20.36  1.71  1.44  6.71
2008 09 29 -33.95  -35.55  21.7  1.73  1.47  6.88
2008 09 30 -33.27  -35.15  19.76  1.8  1.5  7.17
2008 10 01 -33.83  -36.57  18.74  1.74  1.45  6.9
2008 10 02 -32.33  -35.84  17.85  1.86  1.56  7.4
2008 10 03 -31.73  -38.48  16.53  1.79  1.53  6.17
2008 10 04 -33.69  -34.13  17.92  1.91  1.59  7.64
2008 10 05 -32.23  -36.97  21.24  1.53  1.33  5.01
2008 10 06 -34.35  -36.2  19.07  1.71  1.43  6.08
2008 10 07 -34.42  -37.37  18.62  1.71  1.43  6.54
2008 10 08 -33.5  -36.04  22.73  1.61  1.35  6.32
2008 10 09 -32.22  -35.87  29.73  1.69  1.42  5.45
2008 10 10 -35.52  -37.27  21.86  1.76  1.45  6.82
2008 10 11 -35.07  -36.72  26.34  1.69  1.4  6.71
2008 10 12 -33.43  -35.83  21.27  1.72  1.44  6.6
2008 10 13 -34.43  -35.54  21.1  1.63  1.36  6.34
2008 10 14 -33.73  -36.03  16.77  1.64  1.38  6.34
2008 10 15 -33.27  -37.13  22.71  1.66  1.38  5.69
2008 10 16 -33.34  -36.81  15.62  1.58  1.3  5.43
2008 10 17 -34.09  -37.2  24.08  1.58  1.33  4.62
2008 10 18 -33.82  -36.69  23.59  1.58  1.33  4.52
2008 10 19 -34.08  -37.28  32.34  1.65  1.38  3.96
2008 10 20 -33.68  -36.27  21.65  1.58  1.34  4.39
2008 10 21 -33.94  -36.64  33.11  1.59  1.34  4.12
2008 10 22 -33.29  -34.64  17.35  1.56  1.33  4.84
2008 10 23 -33.53  -35.9  23.64  1.63  1.41  6.31
2008 10 24 -32.04  -35.89  20.76  1.64  1.38  5.16
2008 10 25 -33.23  -35.65  27.83  1.58  1.34  6.18
2008 10 26 -33.44  -35.65  20.68  1.61  1.36  5.24
2008 10 27 -33.44  -36.48  15.63  1.55  1.31  5.14
2008 10 28 -33.29  -37.15  22.61  1.61  1.34  4.22
2008 10 29 -33.28  -37.34  19.39  1.68  1.36  4.63
2008 10 30 -32.58  -37.71  24.91  1.58  1.33  4.19
2008 10 31 -28.32  -39.79  15.93  1.89  1.58  5.05
2008 11 01 -30.03  -38.74  14.3  1.71  1.45  4.52
2008 11 02 -30.28  -31.11  17.02  1.94  1.67  5.16
2008 11 03 -31.5  -39.06  23.35  1.79  1.5  4.52
2008 11 04 -32.35  -39.34  29.43  1.84  1.55  4.56
2008 11 05 -32.1  -38.29  22.63  1.74  1.47  5.51
2008 11 06 -33.17  -36.59  15.97  1.65  1.4  4.1
2008 11 07 -32.55  -37.61  17.81  1.55  1.31  3.79
2008 11 08 -32.2  -37.57  14.49  1.62  1.35  3.87
2008 11 09 -32.8  -37.78  18.02  1.69  1.44  4.59
2008 11 10 -31.52  -38.03  14.22  1.59  1.38  4.16
2008 11 11 -32.63  -39.35  3.31  1.59  1.34  4.47
2008 11 12 -32.94  -37.88  8.57  1.69  1.42  4.12
2008 11 13 -32.49  -38.74  20.43  1.61  1.37  3.95
2008 11 14 -32.19  -39.16  18.82  1.59  1.37  5.68
2008 11 15 -32.68  -38.27  22.99  1.6  1.34  4.29
2008 11 16 -32.76  -38.64  30.7  1.59  1.34  4.33
2008 11 17 -33.58  -36.75  34.86  1.61  1.36  4.2
2008 11 18 -33.55  -36.46  29.82  1.6  1.35  4.28
2008 11 19 -32.83  -36.34  30.69  1.57  1.32  4.36
2008 11 20 -32.74  -34.58  31.1  1.63  1.4  4.19
2008 11 21 -33.57  -35.43  26.4  1.48  1.26  4.43
2008 11 22 -32.4  -35.92  25.42  1.49  1.27  3.96
2008 11 23 -32.54  -37.37  25.31  1.53  1.3  3.69
2008 11 24 -32.02  -38.62  23.32  1.62  1.37  5.56
2008 11 25 -33.03  -37.76  26.91  1.53  1.29  3.61
2008 11 26 -33.76  -37.74  18.28  1.53  1.29  3.59
2008 11 27 -33.03  -37.87  8.52  1.58  1.34  3.78
2008 11 28 -33.5  -39.43  23.49  1.49  1.27  3.51
2008 11 29 -32.41  -37.77  16.94  1.6  1.34  3.94
2008 11 30 -33.32  -36.9  28.23  1.53  1.33  3.95
2008 12 01 -32.95  -36.78  36.73  1.6  1.37  4.13
2008 12 02 -33.47  -38.92  35.63  1.66  1.41  4.14
2008 12 03 -33.23  -38.08  31.62  1.56  1.34  3.98
2008 12 04 -32.84  -35.83  21.67  1.6  1.38  4.28
2008 12 05 -32.86  -37.63  26.19  1.55  1.33  3.86
2008 12 06 -33.08  -37.77  30.28  1.54  1.35  3.84
2008 12 07 -32.79  -37.58  26.45  1.7  1.5  4.31
2008 12 08 -32.16  -37.61  18.75  1.48  1.3  3.49
2008 12 09 -32.21  -36.9  23.79  1.58  1.41  4.01
2008 12 10 -31.02  -38.8  16.87  1.6  1.45  4.39
2008 12 11 -30.79  -39.3  20.69  1.55  1.37  3.86
2008 12 12 -31.65  -39.17  22.74  1.69  1.51  4.71
2008 12 13 -31.62  -38.3  26.05  1.68  1.48  4.26
2008 12 14 -32.18  -38.22  24.44  1.52  1.36  3.74
2008 12 15 -32.32  -36.87  21.69  1.6  1.42  4.09
2008 12 16 -32.19  -37.4  19.78  1.52  1.37  3.66
2008 12 17 -32.67  -36.77  18.79  1.58  1.4  4.02
2008 12 18 -31.96  -37.75  24.07  1.56  1.37  3.99
2008 12 19 -30.23  -35.97  24.16  1.68  1.47  4.26
2008 12 20 -31.47  -37.48  17.62  1.55  1.37  4.38
2008 12 21 -29.93  -40.25  20.15  1.56  1.39  5.23
2008 12 22 -31.83  -41.12  24.07  1.73  1.52  4.31
2008 12 23 -32.47  -40.05  15.31  1.59  1.43  4.73
2008 12 24 -30.54  -42.17  21.11  1.64  1.44  5.79
2008 12 25 -32.27  -43.32  18.84  1.76  1.53  6.98
2008 12 26 -31.39  -42.28  17.22  1.67  1.47  4.09
2008 12 27 -32.86  -42.08  20.15  1.63  1.44  4.04
2008 12 28 -31.18  -41.53  16.54  1.64  1.45  4.03
2008 12 29 -30.95  -44.36  24.58  1.61  1.42  5.21
2008 12 30 -31.81  -42.21  25.17  1.5  1.31  3.59
2008 12 31 -32.31  -37.62  21.57  1.52  1.37  3.85
2009 01 01 -33.56  -39.97  27.07  1.51  1.34  4.87
2009 01 02 -33.85  -39.92  29.52  1.92  1.69  4.95
2009 01 03 -32.51  -40.45  21.35  1.59  1.39  4.96
2009 01 04 -32.48  -40.15  22.38  1.51  1.35  3.63
2009 01 05 -32.46  -40.07  28.21  1.61  1.39  4.61
2009 01 06 -34.37  -38.21  15.07  1.64  1.42  3.99
2009 01 07 -32.38  -40.58  25.85  1.56  1.37  3.91
2009 01 08 -31.34  -40.65  21.52  1.68  1.48  4.14
2009 01 09 -31.91  -40.51  20.62  1.6  1.4  3.9
2009 01 10 -32.34  -39.68  15.79  1.58  1.37  5.05
2009 01 11 -32.99  -39.67  21.42  1.58  1.37  4.93
2009 01 12 -32.88  -37.97  17.16  1.53  1.33  4.84
2009 01 13 -32.04  -39.4  20.79  1.52  1.31  3.69
2009 01 14 -31.95  -39.13  11.5  1.56  1.35  6.22
2009 01 15 -32.15  -39.86  22.14  1.52  1.34  4.11
2009 01 16 -32.01  -39.4  13.75  1.6  1.4  4.61
2009 01 17 -31.98  -38.85  22.41  1.56  1.38  4.29
2009 01 18 -31.38  -38.57  9.63  1.37  1.22  3.84
2009 01 19 -31.41  -39.42  16.44  1.54  1.35  4.22
2009 01 20 -31.63  -39.4  19.46  1.55  1.36  4.37
2009 01 21 -33.21  -39.82  32.15  1.36  1.22  3.63
2009 01 22 -30.52  -37.24  12.44  1.64  1.41  4.18
2009 01 23 -31.58  -37.33  16.6  1.5  1.34  4.5
2009 01 24 -29.84  -35.89  22.29  1.51  1.38  4.68
2009 01 25 -31.21  -35.77  21.32  1.49  1.34  3.96
2009 01 26 -30.64  -35.55  28.41  1.49  1.41  4.1
