% YYYY MM DD, North, East Vert, sigmas, all in mm
2004 02 22 -6.91  -67.84  15.97  1.21  1.26  4.54
2004 02 23 -6.64  -65.77  16.09  1.21  1.27  4.51
2004 02 24 -6.74  -66.8  15.56  1.19  1.25  4.44
2004 02 25 -7.03  -67.15  19.1  1.24  1.26  4.59
2004 02 26 -6.37  -69.41  15.9  1.28  1.3  4.76
2004 02 27 -6.71  -66.09  20.94  1.3  1.42  4.85
2004 02 28 -6.75  -66.09  19.75  1.23  1.25  4.53
2004 02 29 -7.08  -66.86  17.79  1.22  1.29  4.51
2004 03 01 -7.56  -66.83  20.81  1.2  1.26  4.45
2004 03 02 -5.46  -65.17  15.2  1.2  1.24  4.49
2004 03 03 -5.55  -66.84  17.35  1.26  1.27  4.66
2004 03 04 -5.58  -67.6  15.93  1.25  1.31  4.66
2004 03 05 -8.14  -66.6  14.9  1.22  1.28  4.56
2004 03 06 -7.6  -73.5  14.58  1.7  1.74  6.12
2004 03 07 -7.95  -65.18  11.24  1.43  1.5  5.29
2004 03 08 -7.39  -67.92  17.35  1.23  1.23  4.59
2004 03 09 -7.32  -65.03  14.23  1.26  1.31  4.73
2004 03 10 -5.03  -67.32  14.53  1.47  1.62  5.4
2004 03 11 -7.14  -64.77  15.87  1.24  1.24  4.59
2004 03 12 -6.37  -67.4  15.49  1.25  1.3  4.68
2004 03 13 -6.44  -67.97  16.81  1.37  1.38  5.06
2004 03 14 -8.07  -66.22  9.97  1.34  1.32  4.93
2004 03 15 -7.21  -65.5  20.41  1.59  1.69  5.8
2004 03 16 -9.6  -66.87  12.96  1.42  1.43  5.25
2004 03 17 -9.22  -62.27  11.63  1.61  1.58  5.79
2004 03 18 -7.18  -66.39  18.52  1.4  1.39  5.27
2004 03 19 -7.23  -65.1  3.41  1.57  1.67  5.78
2004 03 20 -7.85  -70.23  11.41  1.45  1.47  5.44
2004 03 21 -7.93  -63.43  6.3  1.31  1.33  4.97
2004 03 22 -8.83  -64.64  11.65  1.38  1.33  5.22
2004 03 23 -9.36  -66.07  14.95  1.46  1.45  5.46
2004 03 24 -11.65  -67.35  12.61  1.55  1.66  5.75
2004 03 25 -8.33  -69.77  17.81  1.59  1.65  5.89
2004 03 26 -8.09  -67.58  13.48  1.43  1.56  5.44
2004 03 27 -8.8  -68.43  17.74  1.43  1.56  5.43
2004 03 28 -7.91  -65.22  14.01  1.38  1.38  5.26
2004 03 29 -7.17  -65.89  13.28  1.33  1.34  5.06
2004 03 30 -7.8  -65.58  9.01  1.25  1.27  4.69
2004 03 31 -8.09  -65.01  8.81  1.22  1.24  4.63
2004 04 01 -9.01  -63.84  18.21  1.3  1.35  4.86
2004 04 02 -7.81  -65.43  13.04  1.3  1.36  4.87
2004 04 03 -8.32  -65.42  9.29  1.34  1.45  5.04
2004 04 04 -7.77  -64.17  9.27  1.27  1.36  4.66
2004 04 05 -8.7  -64.58  13.81  1.33  1.36  4.88
2004 04 06 -9.13  -65.77  9.21  1.35  1.37  5.02
2004 04 07 -8.83  -66.7  8.07  1.58  1.52  5.86
2004 04 23 -11.49  -65.53  11.83  3.13  2.77  9.49
2004 04 24 -9.08  -64.11  10.54  1.28  1.39  4.77
2004 04 25 -9.08  -66.67  6.91  1.31  1.47  4.86
2004 04 26 -9.06  -66.06  10.51  1.3  1.38  4.78
2004 04 27 -7.56  -65.26  9.52  1.36  1.47  5.04
2004 04 28 -7.74  -68.41  14.74  1.44  1.49  5.36
2004 04 29 -7.7  -63.53  17.48  1.35  1.44  5.03
2004 04 30 -7.35  -68.03  12.16  1.25  1.27  4.65
2004 05 01 -8.14  -66.31  9.1  1.24  1.32  4.6
2004 05 02 -8.34  -65.28  9.22  1.26  1.32  4.74
2004 05 03 -7.25  -63.68  12.22  1.38  1.51  5.12
2004 05 04 -8.74  -65.11  7.71  1.48  1.55  5.5
2004 05 05 -8.87  -66.9  12.63  1.45  1.51  5.47
2004 05 06 -6.9  -65.46  15.76  1.42  1.47  5.32
2004 05 07 -7.92  -66.03  11.58  1.46  1.53  5.45
2004 05 08 -8.12  -65.1  13.84  1.39  1.4  5.17
2004 05 09 -9.35  -63.13  23.34  1.42  1.49  5.25
2004 05 10 -6.52  -66.08  18.41  1.44  1.5  5.37
2004 05 11 -8.59  -66.67  21.29  1.56  1.68  5.75
2004 05 12 -8.7  -64.57  17.79  1.38  1.46  5.21
2004 05 13 -7.28  -67.11  11.09  1.37  1.44  5.14
2004 05 14 -7.84  -67.9  11.59  1.45  1.49  5.42
2004 05 15 -9.79  -61.59  13.11  1.5  1.56  5.53
2004 05 16 -9.68  -64.03  25.59  1.46  1.49  5.42
2004 05 17 -10.06  -63.31  22.54  1.49  1.63  5.56
2004 05 18 -7.35  -64.28  20.03  1.35  1.51  5.03
2004 05 19 -8.59  -60.97  15.75  1.41  1.56  5.33
2004 05 20 -8.52  -63.43  20.14  1.39  1.55  5.21
2004 05 21 -9.64  -66.01  23.96  1.52  1.66  5.56
2004 05 22 -9.61  -61.28  26.34  1.54  1.75  5.72
2004 05 23 -11.85  -65.9  29.12  1.57  1.81  5.74
2004 05 24 -7.84  -64.33  12.34  1.39  1.57  5.21
2004 05 25 -10.61  -61.95  16.85  1.42  1.6  5.35
2004 05 26 -8.67  -62.24  17.27  1.41  1.57  5.29
2004 05 27 -10.25  -66.03  23.78  1.59  1.71  5.84
2004 05 28 -7.61  -65.49  22.97  1.52  1.84  5.63
2004 05 29 -10.84  -63.73  19.3  1.53  1.7  5.7
2004 05 30 -9.82  -67.07  15.12  1.55  1.83  5.78
2004 05 31 -9.04  -64.56  7.38  1.57  1.66  5.87
2004 06 01 -8.67  -64.91  14.77  1.42  1.42  5.33
2004 06 02 -9.53  -63.81  20.01  1.32  1.36  5.02
2004 06 03 -9.95  -62.11  12.42  1.49  1.54  5.64
2004 06 04 -10.01  -62.06  18.03  1.58  1.58  5.86
2004 06 05 -10.99  -61.92  17.08  1.32  1.37  5.03
2004 06 06 -10.18  -59.93  21.83  1.49  1.5  5.55
2004 06 07 -10.74  -61.89  24.65  1.38  1.36  5.17
2004 06 08 -10.8  -61.28  20.6  1.44  1.42  5.4
