% YYYY MM DD, North, East Vert, sigmas, all in mm
2007 07 27 -6.01  -55.91  -1.57  1.5  1.32  5.77
2007 07 28 -3.93  -56.39  5  1.65  1.43  6.25
2007 07 29 -4.52  -56.79  9.71  1.75  1.53  6.64
2007 07 30 -3.6  -54.83  -1.1  1.7  1.49  6.45
2007 07 31 -5.17  -56.43  5.93  1.65  1.44  6.26
2007 08 01 -4.07  -56.51  15.22  1.71  1.48  6.55
2007 08 02 -6.71  -57.88  5.07  1.64  1.43  6.41
2007 08 03 -5.77  -56.28  -2.99  1.68  1.46  6.41
2007 08 04 -4.43  -55.9  2.2  1.44  1.26  5.48
2007 08 05 -4.55  -56.55  9.11  1.8  1.57  6.84
2007 08 06 -2.97  -54.75  6.69  1.55  1.35  5.93
2007 08 07 -4.25  -56.47  10.76  1.6  1.4  6.11
2007 08 08 -3.92  -55.11  5.32  1.49  1.31  5.69
2007 08 09 -4.84  -54.27  10.46  1.46  1.27  5.56
2007 08 10 -3.96  -52.26  8.07  1.48  1.3  5.7
2007 08 11 -3.96  -54.24  13.82  1.5  1.33  5.8
2007 08 12 -4.68  -56.1  8.07  1.64  1.45  6.3
2007 08 13 -3.85  -56.42  11.68  1.63  1.43  6.17
2007 08 14 -3.67  -55.82  10.78  1.48  1.27  5.63
2007 08 15 -4.6  -55.57  -0.45  1.5  1.33  5.78
2007 08 16 -2.92  -54.09  5.3  1.68  1.47  6.51
2007 08 17 -5.05  -54.15  8.11  1.41  1.26  5.33
2007 08 18 -4.66  -58.08  3.82  1.56  1.37  5.97
2007 08 19 -6.77  -56.25  1.12  1.91  1.65  7.16
2007 08 20 -6.1  -55.84  7.53  1.58  1.38  5.95
2007 08 21 -7.32  -58.02  13.06  1.37  1.18  5.15
2007 08 22 -7.11  -57.21  11.68  1.49  1.29  5.59
2007 08 23 -5.67  -57.23  13.78  1.61  1.4  6.07
2007 08 24 -5.28  -55.67  13.93  1.82  1.53  6.94
2007 08 25 -5.71  -56.6  13.29  1.42  1.22  5.38
2007 08 26 -5.1  -56.63  14.28  1.47  1.26  5.53
2007 08 27 -5.41  -58.05  16.61  1.41  1.22  5.36
2007 08 28 -4.29  -60  15.75  1.57  1.35  5.93
2007 08 29 -4.07  -58.56  5.52  1.65  1.42  6.27
2007 08 30 -5.68  -57.49  8.72  1.62  1.4  6.26
2007 08 31 -6.65  -59.09  9.92  1.55  1.36  5.95
2007 09 01 -5.56  -57.83  9.21  1.71  1.47  6.43
2007 09 02 -4.06  -55.69  14.91  1.81  1.54  6.74
2007 09 03 -4.55  -54.23  16.58  1.54  1.35  5.93
2007 09 04 -5.13  -54.93  9.76  1.58  1.37  5.98
2007 09 05 -3.7  -58.56  24.29  1.96  1.67  7.39
2007 09 06 -7.39  -56.7  14.08  1.76  1.52  6.84
2007 09 07 -4.02  -55.03  16.72  1.45  1.25  5.55
2007 09 08 -7.17  -56.03  10.46  1.43  1.24  5.47
2007 09 09 -5.79  -56.01  17.14  1.49  1.3  5.66
2007 09 10 -7.15  -56.24  7.72  1.55  1.35  5.86
2007 09 11 -4.84  -55.11  13.35  1.49  1.3  5.63
2007 09 12 -5.13  -54.54  16.71  1.49  1.3  5.75
2007 09 13 -3.73  -55.84  17.86  1.45  1.26  5.5
2007 09 14 -6.74  -55.21  11.45  1.59  1.37  6.04
2007 09 15 -5.77  -54.03  17.08  1.78  1.54  6.83
2007 09 16 -5.41  -55.83  11.52  1.7  1.48  6.65
2007 09 17 -6.37  -58.12  26.13  2.05  1.76  7.86
2007 09 18 -3.45  -54.97  14.38  1.38  1.23  5.34
2007 09 19 -3.75  -53.96  11.32  1.48  1.34  5.69
2007 09 20 -3.69  -54.33  17.81  1.71  1.53  6.67
2007 09 21 -3.7  -54.37  14.9  1.46  1.32  5.64
2007 09 22 -2.48  -56.31  19.43  1.48  1.31  5.63
2007 09 23 -5.18  -56.11  21.56  1.64  1.46  6.31
2007 09 24 -6.34  -59.76  6.59  1.52  1.35  5.83
2007 09 25 -4.21  -58.69  16.63  1.42  1.26  5.34
2007 09 26 -3.34  -58.11  19.99  1.36  1.24  5.21
2007 09 27 -4.36  -58.42  15.3  1.41  1.27  5.42
2007 09 28 -4.36  -56.29  15.18  1.57  1.42  6.14
2007 09 29 -5.64  -58.71  24.93  1.68  1.51  6.5
2007 09 30 -5.6  -59.68  6.37  1.42  1.28  5.43
2007 10 01 -3.62  -59.56  20.63  1.44  1.3  5.5
2007 10 02 -5.09  -55.85  13.04  1.52  1.37  5.76
2007 10 03 -4.72  -56.01  15.61  1.37  1.23  5.23
2007 10 04 -5.91  -57.79  13.38  1.62  1.48  6.28
2007 10 05 -4.66  -56.23  19.99  1.77  1.6  6.9
2007 10 06 -3.72  -57.38  6.83  1.6  1.43  6.23
2007 10 07 -3.53  -56.49  9.54  1.31  1.18  5
2007 10 08 -4.63  -56.47  11.96  1.34  1.23  5.14
2007 10 09 -3.77  -57.37  16.8  1.37  1.22  5.2
2007 10 10 -4.32  -55.95  12.06  1.56  1.38  6.04
2007 10 11 -3.4  -58.49  21.47  1.42  1.26  5.45
2007 10 12 -4.25  -55.53  12.92  1.38  1.23  5.28
2007 10 13 -3.89  -57.95  18.2  1.4  1.26  5.41
2007 10 14 -4.67  -55.15  12.1  1.3  1.16  4.91
2007 10 15 -3.18  -56.67  16.57  1.28  1.14  4.83
2007 10 16 -3.98  -55.02  15.76  1.41  1.24  5.3
2007 10 17 -4.24  -56.76  19.66  1.51  1.33  5.74
2007 10 18 -3.15  -56.67  19.25  1.4  1.23  5.26
2007 10 19 -5.06  -55.47  14.68  1.4  1.24  5.25
2007 10 20 -5.51  -57.11  24.53  1.59  1.4  6.07
2007 10 21 -4.02  -57.71  11.98  1.48  1.31  5.65
2007 10 22 -2.92  -58.11  8.89  1.42  1.25  5.38
2007 10 23 -6.21  -57.6  2.7  1.27  1.13  4.77
2007 10 24 -5.96  -57.44  4.89  1.3  1.14  4.88
2007 10 25 -6.18  -56.9  6.69  1.41  1.24  5.28
2007 10 26 -5.56  -56.79  12.24  1.39  1.22  5.27
2007 10 27 -4.96  -57.2  7.56  1.4  1.22  5.24
2007 10 28 -6.34  -56.45  -0.54  1.43  1.24  5.37
2007 10 29 -6.68  -56.11  2.13  1.43  1.25  5.37
2007 10 30 -7.11  -55.66  4.77  1.48  1.29  5.56
2007 10 31 -5.78  -56.84  2.74  1.41  1.23  5.32
2007 11 01 -5.1  -55.1  8.11  1.4  1.22  5.31
2007 11 02 -5.76  -57.97  6.26  1.41  1.24  5.39
2007 11 03 -6.46  -57.25  7.48  1.39  1.22  5.29
2007 11 04 -6.06  -57.21  12.65  1.39  1.22  5.31
2007 11 05 -5.8  -57.53  8.86  1.37  1.2  5.25
2007 11 06 -5.43  -58.19  11.78  1.39  1.22  5.33
2007 11 07 -5.49  -56.65  8.67  1.41  1.23  5.35
2007 11 08 -6.05  -57.26  11.71  1.43  1.25  5.48
2007 11 09 -5.44  -56.76  9  1.45  1.27  5.58
2007 11 10 -5.27  -56.89  7.07  1.47  1.28  5.59
2007 11 11 -6.09  -57.26  11.13  1.49  1.3  5.68
2007 11 12 -6.04  -56.87  5.87  1.5  1.31  5.76
2007 11 13 -6.05  -56.28  6.54  1.47  1.29  5.64
2007 11 14 -4.66  -56.88  9.19  1.47  1.29  5.65
2007 11 15 -5.22  -56.56  5.02  1.42  1.24  5.42
2007 11 16 -5.56  -54.74  0.2  1.44  1.26  5.52
2007 11 17 -5.8  -57.14  8  1.44  1.25  5.49
2007 11 18 -6.43  -56.34  3.01  1.44  1.25  5.46
2007 11 19 -6.79  -57.11  4.15  1.45  1.25  5.52
2007 11 20 -7.14  -57.82  -4.23  1.63  1.41  6.22
2007 11 21 -6.87  -57.56  -4.27  1.48  1.28  5.65
2007 11 22 -6.1  -57.3  -1.9  1.4  1.21  5.38
2007 11 23 -6.36  -56.6  0.92  1.39  1.2  5.35
2007 11 24 -6.22  -56.37  1.18  1.06  0.92  3.95
2007 11 25 -6.15  -55.48  3.09  1.16  1.01  4.37
2007 11 26 -5.28  -55.26  -4.47  1.25  1.09  4.74
2007 11 27 -6.88  -54.96  4.46  1.26  1.09  4.78
2007 11 28 -5.89  -55.53  5.86  1.38  1.19  5.28
2007 11 29 -6.71  -54.69  10.21  1.32  1.14  5.04
2007 11 30 -5.78  -54.53  10.87  1.36  1.18  5.23
2007 12 01 -6.34  -56.32  14.07  2.86  2.4  10.22
2007 12 02 -6.25  -57.11  3.75  1.59  1.38  6.21
2007 12 03 -6.26  -56.72  3.72  1.55  1.34  6
2007 12 04 -5.4  -57.64  7.69  1.53  1.32  5.92
2007 12 05 -5.34  -56.82  9.52  1.58  1.37  6.11
2007 12 06 -5.37  -58.1  16.96  1.63  1.4  6.28
2007 12 07 -7.69  -55.04  21.16  1.54  1.33  5.9
2007 12 08 -4.97  -57.38  10.72  1.71  1.48  6.69
2007 12 09 -5.42  -54.9  14.59  1.35  1.15  5.09
2007 12 10 -4.88  -55.84  13.12  1.32  1.14  5.02
2007 12 11 -4.34  -56.36  14.03  1.34  1.15  5.1
2007 12 12 -4.56  -57.33  14.15  1.23  1.06  4.69
2007 12 13 -4.57  -57.63  12.63  1.29  1.1  4.89
2007 12 14 -5.55  -57.95  13.07  1.25  1.06  4.72
2007 12 15 -5.53  -57.67  9.73  1.14  0.97  4.24
2007 12 16 -6.16  -56.8  12.82  1.22  1.03  4.57
2007 12 17 -5.98  -56.33  13.2  1.39  1.17  5.2
2007 12 18 -5.77  -56.95  8.41  1.31  1.12  4.96
2007 12 19 -5.95  -55.96  9.78  1.38  1.19  5.24
2007 12 20 -5.45  -55.12  10.63  1.37  1.17  5.18
2007 12 21 -5.77  -55.31  18.24  1.43  1.24  5.46
2007 12 22 -4.68  -57.39  12.81  1.32  1.13  4.98
2007 12 23 -5.22  -55.62  5.61  1.34  1.16  5.08
2007 12 24 -5.86  -56.7  12.67  1.36  1.16  5.14
2007 12 25 -5.81  -56.02  13.45  1.39  1.19  5.25
2007 12 26 -5.58  -56.6  16.12  1.2  1.03  4.47
2007 12 27 -5.65  -56.34  12.95  1.2  1.02  4.48
2007 12 28 -6.31  -58.11  10.88  1.29  1.1  4.9
2007 12 29 -6.69  -57.96  8.54  1.31  1.12  4.94
2007 12 30 -6.35  -57.42  12.51  1.38  1.2  5.23
2007 12 31 -5.8  -57.67  9.09  1.51  1.31  5.75
2008 01 01 -5.48  -57.76  5.5  1.49  1.29  5.68
2008 01 02 -5.9  -57.09  2.61  1.47  1.27  5.58
2008 01 03 -5.22  -55  7.74  1.51  1.3  5.75
2008 01 04 -6.66  -53.45  5.57  1.57  1.36  5.97
2008 01 05 -7.22  -53.48  19.59  1.33  1.18  5.15
2008 01 06 -7.01  -54.01  23.79  1.52  1.34  5.87
2008 01 07 -6.03  -54.13  10.14  1.56  1.36  6.04
2008 01 08 -5.43  -54.85  9.37  1.74  1.47  6.63
2008 01 09 -4.7  -54.98  9.88  1.5  1.29  5.77
2008 01 10 -5.74  -56.38  7.08  1.46  1.28  5.61
2008 01 11 -5.33  -55.82  9.41  1.48  1.3  5.66
2008 01 12 -5.9  -56.05  6.86  1.43  1.25  5.47
2008 01 13 -4.81  -55.76  9.54  1.44  1.26  5.53
2008 01 14 -5.04  -56.31  8.41  1.43  1.25  5.48
2008 01 15 -5.12  -56.29  13.53  1.48  1.3  5.62
2008 01 16 -4.59  -56.24  14.91  1.47  1.26  5.63
2008 01 17 -6.05  -56.12  15.52  1.46  1.26  5.6
2008 01 18 -5.28  -55.51  12.45  1.44  1.28  5.56
2008 01 19 -5.48  -56.82  14.37  1.61  1.41  6.23
2008 01 20 -5  -56.1  13.71  1.45  1.28  5.59
2008 01 21 -5.84  -56.28  12.38  1.53  1.33  5.92
2008 01 22 -5.88  -56.61  13.27  1.5  1.31  5.78
2008 01 23 -5.05  -56.98  15.46  1.47  1.28  5.69
2008 01 24 -4.74  -56.49  16.27  1.53  1.33  5.94
2008 01 25 -5.3  -56.61  8.68  1.57  1.39  6.12
2008 01 26 -5.81  -56.5  9.7  1.45  1.28  5.6
2008 01 27 -5.42  -56.8  13.51  1.53  1.35  5.93
2008 01 28 -7.46  -55.96  17.16  1.68  1.47  6.5
2008 01 29 -5.79  -57.43  10.24  1.69  1.48  6.49
2008 01 30 -4.89  -55.59  11.87  1.81  1.59  6.89
2008 01 31 -5.23  -56.92  6.61  1.69  1.49  6.51
2008 02 01 -5.93  -57.03  8.37  1.59  1.42  6.26
2008 02 02 -5.24  -57.03  8.06  1.43  1.28  5.56
2008 02 03 -5.98  -57.12  12.29  1.35  1.2  5.12
2008 02 04 -5.41  -57.77  12.61  1.72  1.51  6.64
2008 02 05 -5.67  -59.05  9.47  1.63  1.43  6.25
2008 02 06 -5.66  -58.14  9.47  1.68  1.46  6.45
2008 02 07 -6.24  -58.59  6.29  1.71  1.51  6.6
2008 02 08 -6.78  -59.24  11.21  1.58  1.39  6.17
